Run: stfs_nodistill_v1
Path: /home/dsa/stenosis/rfdetr_video/runs/stfs_nodistill_v1
Config: T=5  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  centre_frames=1614
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  14_029_v2          47   47   0.202  0.005  0.000  0.001   0.038  0.035  0.043  0.170      0  0.0000
  14_029_v4          47   47   0.064  0.001  0.000  0.000   0.011  0.006  0.064  0.040      1  0.0213
  14_029_v5          67   67   0.772  0.338  0.002  0.065   0.462  0.476  0.448  0.440      6  0.0896
  14_029_v6          67   67   0.287  0.058  0.005  0.015   0.183  0.188  0.179  0.440      1  0.0149
  14_029_v7          37   37   0.695  0.329  0.000  0.035   0.444  0.706  0.324  0.660      0  0.0000
  14_032_v4          42   42   0.042  0.005  0.000  0.001   0.033  0.020  0.095  0.090      2  0.0476
  14_032_v6          42   42   0.187  0.042  0.000  0.006   0.138  0.094  0.262  0.130      3  0.0714
  14_032_v7          37   37   0.019  0.005  0.000  0.001   0.034  0.018  0.216  0.040      1  0.0270
  14_066_v10         37   37   0.537  0.212  0.000  0.038   0.305  0.222  0.486  0.140      3  0.0811
  14_066_v2          32   32   0.064  0.009  0.000  0.002   0.047  0.029  0.125  0.060      0  0.0000
  14_066_v3          12   12   0.976  0.976  0.092  0.288   0.923  0.857  1.000  0.170      0  0.0000
  14_066_v7          32   32   0.697  0.611  0.008  0.133   0.588  0.789  0.469  0.490      1  0.0312
  14_066_v8          47   47   0.839  0.576  0.004  0.148   0.667  0.674  0.660  0.460      4  0.0851
  14_066_v9          12   12   0.059  0.023  0.001  0.006   0.098  0.061  0.250  0.070      1  0.0833
  14_083_v1          25   25   0.375  0.135  0.002  0.030   0.188  0.429  0.120  0.500      2  0.0800
  14_083_v6          30   30   0.922  0.729  0.048  0.213   0.719  0.676  0.767  0.180      6  0.2000
  14_083_v7          17   17   0.950  0.781  0.004  0.173   0.778  0.737  0.824  0.170      2  0.1176
  14_091_v1           7    7   0.028  0.027  0.005  0.012   0.047  0.025  0.571  0.020      1  0.1429
  14_096_v2          47   47   0.114  0.079  0.001  0.021   0.185  0.120  0.404  0.070      7  0.1489
  14_096_v3          42   42   0.997  0.548  0.000  0.122   0.644  0.622  0.667  0.130      6  0.1429
  14_096_v4          37   37   1.000  1.000  0.053  0.322   1.000  1.000  1.000  0.090      0  0.0000
  14_096_v5          42   42   0.146  0.000  0.000  0.000   0.000  0.000  0.048  0.010      1  0.0238
  14_096_v6          47   47   0.065  0.000  0.000  0.000   0.004  0.002  0.043  0.020      1  0.0213
  14_099_v5          11   11   0.293  0.279  0.004  0.115   0.375  0.600  0.273  0.500      1  0.0909
  14_099_v6          10   10   0.991  0.991  0.159  0.400   0.952  0.909  1.000  0.180      0  0.0000
  14_099_v8           3    3   1.000  1.000  0.003  0.116   1.000  1.000  1.000  0.080      0  0.0000

MACRO mean across videos:
  AP30     0.4952
  AP50     0.3559
  AP75     0.0177
  AP5095   0.0969
  F1       0.3958
  Frag     2.000
  FragRate 0.0573

MICRO pooled across all centre frames:
  AP30     0.3992
  AP50     0.2019
  AP75     0.0031
  AP5095   0.0471
  F1       0.3128
  P        0.4014
  R        0.2562
  thr      0.5100
  Frag     62   (over 1128 track-frames)
  FragRate 0.0550

